Score,Text
0.385,"""There is some hilarity in someone who is literally openly anti-science calling others anti-science."""
0.667,"""'El?' He turned around to her, smiling before hugging her gently."""
0.420,"""I think what 2016 to really needs to round it out is a vs twitter debate. End on something joyful, ya know?."""
0.583,"""Why would Enrique sub off busquet? #hilarious"""
0.827,"""Food that gets delivered 😍🙌🏻 #cheering #happy"""
0.311,"""plan a date... like a date u find pleasing or smth. fuckign\n\n10/10. because the child will grow to be a ten out of ten"""
0.896,"""can't stop smiling 😆😆😆"""
0.333,"""imagine if teppu got animated by madhouse tho &gt;_&lt;"""
0.519,"""Watch this amazing live.ly broadcast by #lively #musically"""
0.438,"""Try to find the good in the negative. The negative can turn out to be good.\n#anxietyrelief #optimism #openminded"""
0.846,"""Getting my comedic relief w/ during season premiere of #ModernFamily. Just what a girl needs! #hilarious"""
0.404,"""#ThisIsUs has messed with my mind &amp; now I'm anticipating the next episode with #apprehension &amp; #delight! #isthereahelplineforthis"""
0.854,"""i just spent $40 on big little sis tomorrow and i am beyond happy about it #SAW #mums"""
0.288,"""“Set up as an ideal the facing of reality as honestly and as cheerfully as possible.” - Karl Menninger #2ndHalfWealth"""
0.714,"""She'll be bribing her parents with hearty laughter and giggles :) #Loveet"""
0.771,"""having a pet store worker ask 'do you want to play with them?' is the most exhilarating feeling"""
0.604,"""She writes with sort of the same playful cynicism that you do! :)"""
0.646,"""Ever wake up and instantly feel happy?"""
0.904,"""✨you make me happy ✨"""
0.096,"""It is too fucking bright &amp; too fucking hot outside"""
0.340,"""I'm worried someday I'll be yelling at my kids and they'll be confused about if or not I'm being serious 😭😭😭\n\nI'm too damn playful"""
0.729,"""You've got quite the cheery young Souls fan. :)"""
0.417,"""Watch this amazing live.ly broadcast by #lively #musically"""
0.792,"""A #smile brightens your day and the day of everyone around you, so remember to #smile, it's #free. :-)"""
0.250,"""cheer up punkin'"""
0.560,"""laughter is such a powerful thing and everybody deserves to laugh, if u like shitty romcoms and get a giggle outta planet uranus, power to u"""
0.625,"""Dolores.' A thin lipped smile graced glossed lips as she let blues peer over at the woman. ' A constant delight.. As always.'"""
0.604,"""Make someone happy ^_^"""
0.708,"""Be #happy. Be #bright. Be YOU :) #identity #TimelessTips #friendship #family #forest #water #family #TrueLove #God #RoadSoFar #you #LifeTrip"""
0.729,"""I still can't get jimmy garoppolo out of my head and it's been almost 3 weeks. Thanks a lot! #hilarious"""
0.271,"""Meanwhile, the so-called M’s fans sit there knitting or sleeping not sure which but they certainly aren’t cheering like the other teams fans"""
0.716,"""the Christmas episode genuinely had me in tears of laughter"""
0.139,"""don't know I'm from nj we are the worst on purpose."""
0.533,"""Watch this amazing live.ly broadcast by #musically"""
0.640,"""#LethalWeapon A suicidal Vet with PTSD... so FUCKING FUNNY.... let the hilarity begin..."""
0.480,"""Watch this amazing live.ly broadcast by #musically"""
0.646,"""Ive learnt that a #smile and good #morning goes a long way, and saying #thankyou goes even further. #quote #retweet #inspire"""
0.769,"""Good morning.Let's start with a smile!\nLet's enjoy life in a cheerful way!\nDon't worry be happy!"""
0.500,"""*Sam grins against Steve's lips, murmuring his words with a playful tone* You want the shirt off? I sure i could accommodate"""
0.580,"""Watch this amazing live.ly broadcast by #lively #musically"""
0.827,"""Omg. You've got to watch the new series 'This is Us'.....wow. Best tv show I've seen in a long time.\n#tears #laughter #moretears"""
0.500,"""\nIt's not just a treat for viewers to watch u as janak, it's simply a treat for our soul, mind, thoughts. #hearty respect 🙏🙏"""
0.849,"""Today I reached 1000 subscribers on YT!! #happy, #goodday, #thankful"""
0.354,"""This is not me brown nosing but I've listened to lots of housing ministers but #nhf16 impressed me more than any"""
0.875,"""i love those #memories that randomly pop\ninto my head , have me #smiling like an\n#idiot for ages 󾌴"""
0.780,"""I'm the reason I smile everyday 💯"""
0.262,"""The bounty hunter things a bit lively"""
0.400,"""A cheerful heart is good medicine, but a crushed spirit dries up the bones -Proverbs 17:22-"""
0.077,"""After this news I'm supposed to be so damn happy and rejoicing but I'm here like 😩😔😭😞"""
0.583,"""and it’s gleeful because they’re so inspired, so convinced they’re winning and at last have their strongman"""
0.712,"""#twd comes on soon #happy"""
0.340,"""Do not truck the delight; delight the truck."""
0.583,"""Ready for that nice, breezy, calm, sunshine weather.🍂🍁 #Autumn"""
0.440,"""Accept the challenges so that you can feel the exhilaration of victory. George S. Patton #quote #yeg"""
0.760,"""I found #marmite in Australia. `:) #happy"""
0.544,"""Tonight my top delight was a Skein of Geese flying about 1 foot above me as I swam in #Windermere. Breeze dropped &amp; it became like glass."""
0.604,"""Go follow #beautiful #Snowgang ♥♥ #Princess #fitness #bodyposi #haircut #smile #Whitegirlwednesday"""
0.125,"""Three days off a month with two ex wives and no home could be worse. I don't know how, but it could #oilandgas"""
0.580,"""Happy Birthday shorty. Stay fine stay breezy stay wavy 😘"""
0.600,"""I'm so playful. lol I need somebody that'll joke with me all day long cause ill never get tired of it."""
0.583,"""Tiller and breezy should do a collab album. Rapping and singing prolly be fire"""
0.458,"""Watch this amazing live.ly broadcast by #lively #musically"""
0.383,"""the prospect of getting choked out by a hot daddy tonight is sorta cheering me up but I also kinda just wanna watch the new AHS episode lol"""
0.854,"""Having a blast playing games and hearing testimonies at Pastor Jeremy's house #fellowship #food #praise #gospel #coffey1617"""
0.360,"""Love how cheerful that woman is about storing someone else's furniture for an eternity. I'd have sold it by now. #GrandDesigns"""
0.442,"""A cheerful sloth annotated old books about a very good man then the gods ended evil."""
0.246,"""alternate reality where has a comments section and you can give poems a cheery thumbs up or a disappointed thumbs down"""
0.288,"""u used to chirp me for drinking it u hoe"""
0.480,"""It has been medically proven that laughter is an effective pain killer."""
0.480,"""I wish there was a #glee version of Stitches. #gleekforever"""
0.146,"""the forth character? No... not gleeful enough..."""
0.438,"""Korgoth of Barbaria for brutality, King Julian for hilarity, and Ariel... Because hot..."""
0.833,"""I got so much fan's on here! Y'all and vixx keep me smiling ❤❤❤"""
0.792,"""I'm watching joyful noise for 100000000 time cuz I love this movie and"""
0.458,"""I assume that people pick up on my joviality coz I lol a lot but it's just not working. Maybe I need to get heavy handed with emoticons? Ha"""
0.192,"""I was cheering for NA team. Now I just want this is over and Gaudreau comes back in one piece. It is getting way too risky"""
0.144,"""I think that yawning actor died of a drug overdose. #glee"""
0.345,"""we provide dignified and professional funerals at prices families can afford #satisfied clients #bright pig"""
0.440,"""I trust you know that I appreciate your willingness to explain the details, and my attempt at levity is just that."""
0.917,"""I thought the holidays could not get any more cheerful, and then I met you. #TheNiceBot"""
0.917,"""It's meant to be!! #happy #happy"""
0.820,"""Ciara asks was it a sci-fi movie, Julie &amp; Jen just stare, Claire on her phone, Joey bolts when the cab honks. LMAO #hilarious"""
0.231,"""never #make a decision when you are .. #angry &gt;_&lt; .... and never make a #promis when you are #happy :) :*"""
0.654,"""Lmboo , using my nephew for meme #hilarious"""
0.361,"""is it bad that kurt is literally me..? #glee"""
0.875,"""When you wake up from a dream laughing at something stupid, and that makes you laugh more #hilarious"""
0.358,"""Today I answered a call from a college rep who didn't realize I did, and I got to hear part of his lively debate about if evolution is real."""
0.646,"""And girl I love your perfume there's something bout you 🎧 #breezy"""
0.250,"""Light of day per heyday popularization backfire cinematography: XUcQb"""
0.040,"""Quinn's short hair makes me sad. #glee"""
0.500,"""When you're prof suggest and William James may be unlikely dialogue partners and then plays the #happy video #WeAreCST"""
0.558,"""aside from that i'm all about pleasing the individual that i'm involved with, my pleasure comes from their pleasure."""
0.540,"""I beg you, never stop smiling. You deserve to be happy and to know all the beautiful things that life can offers."""
0.750,"""Wishing a very Happy Birthday to our awesome dancer, Ruthann!!! We hope your day is magical! #bday #happy #eatcake"""
0.750,"""💖\nHeart so pure and smile\nso bright, I love you\nmore than the number\nof stars at night.\nKindly follow me please\nHarry?\n—90,127"""
0.340,"""I will, next time I'll make sure everything is sparkling clean"""
0.880,"""This is a beautiful day that the Lord has made. I will rejoice and be glad!!!"""
0.352,"""just adding a little levity"""
0.635,"""in geometry today hannah started crying of laughter because ms. canning said 'pp' lol"""
0.760,"""I've watched ' 2nd Season's 1st episode twice already. And here I am, still joyful, planning on watching it again."""
0.458,"""Whether you are rejoicing or fighting back tears, God wants to share the moment with you."""
0.360,"""Accept the challenges, so that you may feel the exhilaration of victory."""
0.542,"""im a delight"""
0.250,"""someone teach me how to cheer someone up"""
0.420,"""some say my lover is a pale green light\nhe hovers high where the moon shines bright"""
0.720,"""#ContentwiththeLordsPortion:O satisfy us early with thy #mercy;that we may #rejoice &amp; be glad all our days.#Ps 90:14 #gladness #joy #delight"""
0.167,"""due to hearty lawsuit NASCAR will raise beer prices $0.07 to accommodate for losses."""
0.604,"""What if.... the Metro LRT went over the Walterdale?!?! 😂 #yeg"""
0.646,"""#personaldevelopment\n\nToday is a gift, that's why it's called the present... #happiness #optimism #entrepreneur #personaldevelopment …"""
0.354,"""Be free and open and breezy! Enjoy! Things won't get any better so get used to it."""
0.521,"""Transitioning to a new job is hard when you have nothing but joyful memories of the previous one. Thanks for changing my life! ❤️"""
0.208,"""She developed her 'forced smile'. I can force myself to describe it 'a little hearty maybe, sanki biraz':)"""
0.396,"""#RIP30 Heaven is rejoicing because they've gained an angel, the Keifer family are in my prayers 💙🙏"""
0.520,"""Accept the challenges so that you can feel the exhilaration of victory!!"""
0.792,"""you're the smile to my face and the beat to my heart. Thanks for being kind as much as you can be. Mind following me?💓 96,127"""
0.458,"""lol no it's sparkling wine"""
0.231,"""Research has determined 70% of #laughter is actually #anxiety."""
0.680,"""was joyous. Worried I would be disappointed. Most definitely was not. #chickflick #giggles #comethefuckonbridget"""
0.852,"""My first time watching your vids and i died of laughter. Keep this up dude"""
0.760,"""you know it's beauty when the smile is her best curve"""
0.600,"""Forgot to thank and for sharing 's day-making #happy video."""
0.577,"""now that I have been sucked into this wormhole of hilarity with no escape, I can say how weird and accurate this is"""
0.812,"""Made my night that Reid was included in tonight's hilarity. Some of those points were brilliant. Thanks"""
0.500,"""Boss I see you as someone that is jovial and funny. Tho av not met u in person."""
0.250,"""i was so embarrassed when she saw us i was like knvfkkjg she thinks we're stalkers n then she starts waving all cheerfully inviting us in 😩"""
0.792,"""now that I have my future planned out, I feel so much happier #goals #life #igotthis #yay"""
0.625,"""starting my new challenge ! A glee poll every day !"""
0.481,"""18' \nMichael Carrick as struck the back of the net much to the delight of under pressure man u fanz and MOU..."""
0.480,"""Always doing the EmotionalHedge™ w #WPS\n\nI'm elated about start. Have I mentioned I'm on TAMU -6?!"""
0.656,"""you got this #staystrong #smile #yourebeautiful"""
0.040,"""i swear people dont wanna see me happy like they will try to do anything to fuck up what i got going"""
0.479,"""\nWho nose where those scent roses went\nTo a spot in the Orient\nMummified\nIn rapeseed oil fried\nEating drinking &amp; merriment."""
0.926,"""Today I reached 1000 subscribers on YT!! , #goodday, #thankful"""
0.920,"""Just got back from seeing in Burslem. AMAZING!! Face still hurts from laughing so much"""
0.240,"""Misery loves company. The church ought to be a place where it finds none.\n-Pastor Kris Theobald #joy"""
0.536,"""Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5"""
0.231,"""no okay you don't not need to be going out of your way to make sure you are pleasing everyone do what makes you happy"""
0.604,"""Elinor,' she laughed so little known, all over every body at the brilliant cheerfulness of sweetmeats and a fashion."""
0.360,"""I convinced my mom to watch it. Killgrave gave her literal nightmares, but watched last episode four times."""
0.317,"""the single tear is him being joyous that he's deleted the monster that has brought generations of despair"""
0.420,"""Accept the challenges so that you can feel the exhilaration of victory. \n\n#MBMcLisse"""
0.583,"""Loved independence msg on , be happy &amp; fulfilled within yourself &amp; positivity will flock to you #independent"""
0.038,"""have some issues with my broadband bill ,I am charged for the month before I signed up with airtel.."""
0.479,"""Your attitude toward your struggles is equally as important as your actions to work through them. #optimism"""
0.750,"""Impractical Jokers...practically genius!!! #good4thesoul #ImpracticalJokers #bingewatching"""
0.820,"""I WANNA GET UP AND DANCE!!!! (but everyone is in bed) this sucks! Everyone wake up!! 😯 #hyper #happy #letsdance #dirtydancinginthemoonlight👌"""
0.680,"""It's not that the man did not know how to juggle, he just didn't have the balls to do it.\n#funny #pun #punny #hilarious #lol"""
0.979,"""I'm so excited to see Nat tonight 😍😍.. And how happy and cheery she is! &amp; then I'm even more excited for her to get on social media 😍 #BB18"""
0.520,"""did it not just enliven your soul"""
0.440,"""When we give cheerfully and accept gratefully, everyone is blessed.\n»Maya Angelou\n\n#RIP #MayaAngelou"""
0.354,"""Lil reminder that my private account is a delight of shittalking and occasionally NSFW stuff!"""
0.320,"""she's still younger and more spry than trump"""
0.494,"""#Talking about our #Problems is our greatest #Addiction#Break the #habitTalk about ur #Joys#quote #problemsolving #behappy"""
0.250,"""Sometimes I like to talk about my sadness. Other times, I just want to be distracted by friends, laughter, shopping, eating... \n\n#MHChat"""
0.438,"""i'm doing laundry and watching that 70's show with a bunch of strangers. #happy #birthday #to #me"""
0.220,"""If yiu don't respond .o an email within 7 days, you willxbe killed by an animated gif of the girl froa The Ri.g."""
0.408,"""looks like a book shaped like a gun to me #optimism #itsagunalright"""
0.250,"""then rejoicing now is a lil' bit prematured dont you think🤔🤔🤔"""
0.458,"""Watch this amazing live.ly broadcast by .mila.__ #musically"""
0.500,"""See, that's how you and Michelle are so cheery!"""
0.560,"""Watch this amazing live.ly broadcast by #lively #musically"""
0.431,""", you are the best Whiney Jerkass Heel since 's heyday in WCW. \n #LuchaUnderground"""
0.327,"""On the bright side with YouTube heroes leafy will finally get banned"""
0.750,"""That's awesome! p.s. ok, what are the odds of that, swapping neighborhoods? #hilarious"""
0.191,"""Reflection: the grind has been so REAL! Working 2 jobs &amp; being in school. #ksudsm #ksu #recruiter #instructor #tumble #gradschool"""
0.635,"""Love this! Laughing while crying works too! #katherinemansfield #failure #dealingwithfailure"""
0.593,"""Ooh #hygge, candles, jasmine tea &amp; #GBBO #happy"""
0.580,"""I'm a cheery ghost."""
0.417,"""Hey u never know, Channel 4's version of #GBBO might actually be quite good. A few adverts aren't the end of the world."""
0.480,"""To insure good health: Eat lightly, breathe deeply, live moderately, cultivate cheerfulness, and maintain an interest in life."""
0.371,"""Do not #educate your child to be #rich, educate them to be #happy. So when they grow up, they'll know the #value of things, not the price."""
0.625,"""Lets get this Astros/A's game going already! We're going to need all 5 of you in attendance to cheer the A's to victory!"""
0.292,"""he chirp"""
0.346,"""#bcwinechat what's the most common method used to make BC #sparkling #wine?"""
0.396,"""lol @ ur caste. even if the whole village dies.. a massali like you cant be a chaudhry:) so cheer up massali :)"""
0.500,"""The true way to render ourselves #happy is to love our work and find in it our pleasure. Francoise de Motteville"""
0.685,"""The #chiropractor makes me so #happy."""
0.740,"""You're so cute #truelove #hilarious #beautiful &amp; #graceful never heard explicits spoken with such elegance. #Mingo"""
0.708,"""wonderful experience watching you yesterday at. thankyou for the"""
0.500,"""go check up with your bf. He'll give u strength with just one smile. #TOPno1"""
0.375,"""why is so aesthetically pleasing every single day they're even pretty when they just woke up, when they're tired, just. always"""
0.385,"""I gave up on the U20 Rugby bet on the Roosters! #cheering #nrl"""
0.417,"""cheering and clapping I assume"""
0.200,"""did you see the gleeful look on 's face when criminal Don King used the 'n' word to denigrate Blacks?"""
0.780,"""🎉 It is time for a most joyous celebration! 🎉"""
0.146,"""I dont have to sit here and take this from u spry young children"""
0.170,"""ppl get triggered over u smiling they're irrelevant"""
0.562,"""Wagging his tail at the praise, he paused, tilting his head as she took the frisbee from him, letting out a playful -"""
0.420,"""I'm sure you'll have a heyday if they do"""
0.231,"""No, they aren't. Episodes are animated during the week before they air."""
0.580,"""Watch this amazing live.ly broadcast by #lively #musically"""
0.917,"""My morning started off amazing!! Hopefully the whole day is going as i want it to go!\n #GreatDay"""
0.292,"""switch out Steve Carrell and put in Kurt from glee then it's accurate"""
0.646,"""Blew up the Internet with his chirp. Lol. Love it."""
0.237,"""looks that way. But let's think about Rohan last week ... #optimism"""
0.333,"""#twd comes on soon"""
0.812,"""Thank you, happy birthday to you as well!"""
0.369,"""Mon Celtic, give us something to cheer - place is empty, soaked &amp; its my wee nephew's Birthday ffs, started well, now dropped off."""
0.438,"""Evening all. Don't forget it's #RobinHoodHour TONIGHT 🏹\n\n #bizitalk #bizhour #southyorkshire #MansfieldHour #sheffieldHour #NottsHour"""
0.771,"""When my friends send me ballons and fireworks through text... #amazing"""
0.288,"""Luis Ortiz ducked by Ustinov which means fights off, and he left future not looking to bright for Ortiz #boxing"""
0.271,"""To tell the truth and make someone cry is better than to tell a lie and make someone smile. #truth #lie #cry #offalonehugots"""
0.745,"""Use your smile to change the world. Don't let the world change your smile.' #quote #actorslife #love #hardworkpaysoff #fun"""
0.396,"""Update: I have yet to hang out with , but I'm still hopeful!"""
0.438,"""I thought that was funny, too. But maybe not such a coincidence. Green must be the official color of optimism."""
0.188,"""took them an awfy long time to spot their goal was disallowed ☺️"""
0.260,"""#smiling doesnt necessary means your happy.sometimes it just means you're strong!"""
0.792,"""So I survived spin....trying to get down the stairs was hilarious tho #jellylegs 😂😂"""
0.550,"""CommunitySleepCoach: Look at these #narcoleptic #puppies. Make you #smile. If you are human &amp; find yourself in such odd positions, seek #th…"""
0.896,"""love you so much #smile 😊😊"""
0.460,"""—but be a little playful. \n\nHe hesitantly pulls away, just enough so he could get words out, lips brushing against—"""
0.189,"""#bcwinechat what's the most common method used to make BC #wine?"""
0.833,"""#happiness #recipe: an open mind, #laughter, a kind #heart &amp; #optimism"""
0.700,"""“Be #positive, #cheerful, #grateful and expectant.” #Success #Leadership"""
0.240,"""your gunna make me cry, I need a glee day"""
0.708,"""I love parody accounts! Well done. Vote for #Trump. #lol"""
0.271,"""try asking for a cheeseburger with only onion &amp; mustard at any #McDonalds"""
0.688,"""happy birthday jin young!!!!!! #PrinceJinyoungDay #happyjinyoungday #got7 #happy #birthday"""
0.417,"""With a very tired body and mind and sparkling teeth I say to all my followers, good night and if there is an apocalypse; good luck. #aspie"""
0.536,"""#Quoteoftheday\r\r'If you don't do #wild things while you're young, you'll have nothing to #smile about when you're old.'\r\r#dailyquote #quotes"""
0.458,"""&lt; took another sip. “We’ve had some earth shattering, soul exhilarating sex. You think black souls can have that kind of &gt;"""
0.188,"""Oh that cheery fucking note, good night shit heads X"""
0.360,"""I remember its heyday, but these ladies range in age from, I'd say, mid-30s to early 70s."""
0.500,"""I often imagine hoe our moon would feel meeting the jovial moons which are all special"""
0.442,"""🍦🎿 god chirp this burp 🎿🍦"""
0.020,"""People who cheer for sports teams completely outside of New Jersey or PA piss me off"""
0.481,"""crying because 's snapchat is bringing on some serious #glee feels 😭❤"""
0.580,"""Nawaz Sharif is getting more funnier than day by day. #challenge #kashmir #baloch"""
0.312,"""which always leads to the kind of hilarity average people will never experience - especially during breakups."""
0.788,"""#BridgetJonesBaby is the best thing I've seen in ages! So funny, I've missed Bridget! #love #hilarious #TeamMark"""
0.646,"""Loved independence msg on , be happy &amp; fulfilled within yourself &amp; positivity will flock to you #happy #independent"""
0.538,"""Good optimism sir :)"""
0.500,"""that, i dont mind too much. smoother, thicker texture. makes it more hearty. also, im glad iced coffee is a thing in the uk now."""
0.640,"""Remember: The life you have is a blessing for #God. Make it a joyful experience regardless of the odds. GBY"""
0.627,"""pummeling cheerfully, jauntily, utterly one-sidedly makes us harder, better, faster, stronger"""
0.667,"""The little sniffle at the end of the song gets me every time. #rejoice"""
0.548,"""'Elizabeth Smith!' She said with a cheery smile 'Pleasure to meet you, sir! Where have you travelled from?'"""
0.792,"""TheNiceBot: melbjs ;) Here is a smile and a wink from across the web. #TheNiceBot"""
0.340,"""#hate going to the doctor on so many levels but least I can go sleep with a #smile just watched #Dwight on live nation"""
0.380,"""Boys of Fall makes me miss cheering on Friday nights much sooooo bad #bulldogslways🐾"""
0.380,"""My two older boys were elated, my toddler was terrified. I have pics of his poor little face peeping through the hole in the basket."""
0.840,"""Vals always smiling I love it #gbbo"""
0.263,"""all the optimism..."""
0.260,"""...at your age, the heyday in the blood is tame...' #shakespeareaninsults #hamlet #elizabethan #williamshakespeare"""
0.167,"""I hate when I try to be playful and get shut down lol ...Why so serious🙁"""
0.580,"""At the risk of being blocked I thought that video from the wake was hilarious."""
0.580,"""My liver is elated that isn't us"""
0.438,"""A good thing about being sick is that coughing is like an ab workout. Maybe my abs will be more defined by the time I'm better 😂😅 #optimism"""
0.229,"""rejoicing over someone's sadness is bad but when #Karma is cencerned then definitely some people deserve it.."""
0.417,"""I might not pay for my own health insurance but I do like sparkling water and Brussels sprouts now so I think I'm an adult"""
0.380,"""At the regular cheerfulness of any emotion, her own supper, and to give the ladies were soon as they have been entirely at"""
0.360,"""My ukulele bag has fallen apart. 😐 WELLL AT LEAST my life hasn't yet!! #Joys\n\n#quote #problemsolving #behappy"""
0.655,"""Watch this amazing live.ly broadcast by #musically"""
0.480,"""A cheerful heart is an unending banquet.- Proverbs (Mishle) 15:16"""
0.396,"""You have to find a way to top yourself. #glee"""
0.460,"""Optimism leads to success. - Bill Kerr #success #optimism #goals"""
0.123,"""- blood and mucus and he chokes and has to swallow, mirth cut too short. 'Wrong answer.' It takes some awkward movements -"""
0.340,"""only time I am ever cheering for you Johnny"""
0.896,"""#brigetjonesbabys #brigetjonesbaby was the best film! #hilarious - so good - so funny!! 🙌"""
0.458,"""#Sports Top seed Johnson chases double delight at Tour Championship"""
0.650,"""Okay this is hilarious"""
0.562,"""Watch this amazing live.ly broadcast by #musically"""
0.384,"""Hey u never know, Channel 4's version of #GBBO might actually be quite good. A few adverts aren't the end of the world. #optimism"""
0.520,"""Be happy. Be who you want to be. If others don't like it, then let them be. Happiness is a choice. Life isn't about pleasing everybody...."""
0.812,"""I am so happy I have come across notebooks! #handmade would love to talk to you! #musthave #want #need #happy #amazing 📖🖋"""
0.604,"""They look FAB, they were made for the big screen!Can't wait to see this evolve &amp; the bright future of these little toy people"""
0.688,"""#ukedchat A4 Just go outside (or to the gym hall) and play! \n #education #learning"""
0.680,"""Day 3 of #harvest16 - listening to the sound of the chopper working it's way closer to home at makes me #happy. #farm365"""
0.417,"""hey #sparkling is the word I just picked 4 my biz card"""
0.339,"""This meth documentary is exhilarating"""
0.560,"""Batman the animated series is a gift from the 90s animation gods"""
0.375,"""I want my highlight to be so bright that if I ever get lost and someone is looking for me in the dark, they'll find me."""
0.562,"""I love Mary's undying optimism. You could present her with dog shite and she'd find something good to say. #GBBO"""
0.088,"""The animated version was better"""
0.660,"""Totes had to re-listen to the endless hilarity that was Tom Odell's 'raaar' this morning 😂😂😂"""
0.250,"""white pricks that were laughing at your use of language won't be crying over your coffin but rejoicing that you're another"""
0.660,"""Book 5! It's so sprightly &amp; fun cuz he'd been reinvigorated by the Harry Potter series. I'm not kidding."""
0.625,"""Treat joy and laughter as a form of worship and spiritual warfare! #laughter #live #victory #worship"""
0.700,"""I send ya a few #playful nibbles 😉"""
0.660,"""cheering for and"""
0.688,"""It's not that the man did not know how to juggle, he just didn't have the balls to do it.\n#funny #pun #punny #lol #hilarious"""
0.240,"""cheer up chuck😘"""
0.625,"""So today, I un armed my silence. My lungs rejoice in freedom. My insides had color too! A woman counted! My jawbone became a razor! For free"""
0.740,"""LOVE LOVE LOVE #smile #fun #relaxationiskey"""
0.458,"""Look at us, smiling in the photograph♪ You can see the secrets behind the fake smiles♪ (*・ω・*) (©FACT「a fact of life」)"""
0.320,"""Not by wrath does one kill, but by laughter. Friedrich Nietzsche #friedrichnietzsche"""
0.396,"""Cross Party Group on Crofting meeting tonight in . Suspect it's going to be a lively meeting...."""
0.625,"""If you simply act out of kindness, strength, and optimism, today will be the best day ever!"""
0.480,"""I don't like the statement but I love the optimism"""
0.375,"""I can be your wolf if you want. Hihi~"""
0.354,"""Be content .... Life is too short."""
0.312,"""wtf is tenacious and jubilant"""
0.820,"""Great to meet tonight. What a lively and enthusiastic bunch! Look forward to working with you again!"""
0.340,"""thought it'd be fun and it is not fun but on the bright side I don't have to fight for parking"""
0.460,"""Be happy not because everything is good, but because you can see the good side of everything. #optimism"""
0.720,"""just sitting close to him for an extended period of time was exhilarating because he's so beautiful and lively lol"""
0.640,"""For what a beautiful day."""
0.673,"""Eve, Izzy, and Paige cheerfully sing songs together."""
0.491,"""All i want to do is to be successful, be cheerful and to be happy with"""
0.646,"""I wish, I really, truly wish, that I had just a modicum of your banter. #hilarious"""
0.304,"""My ukulele bag has fallen apart.  WELLL AT LEAST my life hasn't yet!! #Joys\n\n#quote #problemsolving #behappy"""
0.154,"""Life izn't about pleasing each others...😕\n\n #hell #with"""
0.292,"""A cheerful heart is good medicine, but a broken spirit saps a person's strength.' {Proverbs 17:22} #WednesdayWisdom"""
0.820,"""this is hilarious !!"""
0.540,"""liking the optimism"""
0.708,"""I turn 25 in two weeks. I am so happy. 24 was my darkest year yet. I am elated that I survived"""
0.271,"""No, just tweet pictures of four fictional characters who describe you. One should be an animated character."""
0.750,"""Loving so far. Just hilarious and is wonderful. #hilarious #Bravo 👏🏻👏🏻"""
0.423,"""Our tone of voice: we're like One Direction, we're thoughtful and timid, yet playful"""
0.423,"""Each day is what you make of it! #goals #challenges #business #goals #optimism #happy #success #photographer #photography #ThursdayThoughts"""
0.292,"""don't be with some just because they try to drown you in gifts. be with someone who makes you truly happy, without the materialistic things."""
0.625,"""watching the jubilant scrum at the end of the day and remembering they're all still kids! #priceless"""
0.292,"""cluck cluck cluck, wolf wolf wolf , chirp chirp chirp is all I ever hear."""
0.120,"""As the birds begin to chirp, I try to sleep. #Jetlag"""
0.558,"""Glad you gained some cheery vibes just by looking at our Happy Meal! 😊"""
0.680,"""What an exhilarating last minute of overtime #WCH2016"""
0.688,"""happy birthdayyyyyy pretty. Miss you!"""
0.375,"""It's hard to not cheer for team North America since US got taken out."""
0.600,"""At the end of the day you gotta be #happy for you."""
0.938,""": Thank you so much, Gloria! You're so sweet, and thoughtful! You just made my day more joyful! I love you too! 😊💕"""
0.521,"""Val reminds me of one of the cheerful witches that looks after Aurora in Disney’s Sleeping Beauty. #GBBO"""
0.354,"""don't put famous dex in a tweet with breezy lol chris is that guy dex a bitch lmao n music ass"""
0.602,"""you sir are hilarious"""
0.771,"""she's so sweet &amp; playful 😍"""
0.333,"""Best quote from a 7 in German - Almost #happy"""
0.708,"""When you wake up from a dream laughing at something stupid, and that makes you laugh more"""
0.583,"""You must be knowing #blithe means (adj.) Happy, cheerful."""
0.808,"""I really love the customer service they're always so nice, helpful and cheerful !"""
0.271,"""[He grumbled as he sat atop the sushi bar stool, crossing his arms defiantly, in a playful gesture, though he gave anyone who &gt;"""
0.688,"""it makes complete sense and i'm elated to hear this :]"""
0.562,"""Drawing mini-comics is joyful; folding mini-comics is meditative and relaxing. I think I need to do them for more than just Halloween..."""
0.667,"""May I send you a copy of #HeroTheGreyhound? Either e-book or real paper one! A boy and a greyhound #smiles #tears #laughter"""
0.804,"""THANK YOU SO MUCH FOR COMING TO DETROIT I'm going to sob joyful rainbows now brb"""
0.500,"""Watch this amazing live.ly broadcast by #lively #musically"""
0.680,"""\nGA🙋 Have a joyful day"""
0.146,"""can't cheer for a jigaboo"""
0.475,"""at least Blake lively and Ryan Reynolds are still together, God bless what a beaut couple"""
0.227,"""Too fucking playful"""
0.780,"""#terribledebatequestions has given me so many laughs this afternoon! Thanks Twitter! #cleverpeople"""
0.560,"""breezy luvvvv"""
0.460,"""Great to hear. If there's one thing that makes you feel more like yourself, it;s some hearty chicken noodle soup, right?"""
0.760,"""we just found thin mints in a freezer clean. i couldn't be more elated."""
0.740,"""when the lady in Xmas dept answers your call as 'hello mrs Xmas' yep true story #winning #Xmas #cheer #goodcustomerservice ❤ 📞👍😊"""
0.604,"""Your #smile is a messenger of your good will."""
0.200,"""We have been a better second half team this season. So there's that."""
0.440,"""easy, breezy, beautiful rasta mon"""
